Model Path,Model Base,Image File URL,Prompt,Response
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_30/7d85c0d4-e4ce-409a-9a72-f63c56eceee3.jpeg,"<image>
what is written on the image?",<s> The image is watermarked with the text 'SHIRRAKO'.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_30/7d85c0d4-e4ce-409a-9a72-f63c56eceee3.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a wooden table with a red cloth on it.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_16/440092e8-312f-4c9c-8289-4132ed3c4461.jpeg,"<image>
describe the image","<s> The image is a screenshot from a video game, specifically from a first-person shooter perspective. The player is in a forest environment with dense foliage and trees. The player's character is holding a sniper rifle with a scope, and there is a red laser sight on the rifle. The player's health is indicated by a red bar at the bottom of the screen, which is partially depleted. There is a message in the center of the screen that reads ""You are not it. Get out of here."" This suggests that the player is being chased or hunted by an enemy. The player's current weapon is the M4A1, as indicated by the icon on the bottom right. The player has 20 bullets in the current magazine and 100 bullets in reserve. There are also two grenades available. The environment is blurred, indicating motion or a focus on the player's character. The image is a screenshot from a video game, specifically from a first-person shooter perspective. The player is in a forest environment with dense foliage and trees. The player's character is holding a sniper rifle with a scope, and there is a red laser sight on the rifle. The player's health is indicated by a red bar at the bottom of the screen, which is partially depleted. There is a message in the center of the screen that reads ""You are not it. Get out of here."" This suggests that the player is being chased or hunted by an enemy. The player's current weapon is the M4A1, as indicated by the icon on the bottom right. The player has 20 bullets in the current magazine and 100 bullets in reserve. There are also two grenades available. The environment is blurred, indicating motion or a focus on the player's character.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_16/440092e8-312f-4c9c-8289-4132ed3c4461.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a first-person view of a soldier holding a gun. The soldier is taking cover behind a tree. There are explosions and gunfire in the background. The soldier is wearing a military uniform and has a backpack on. The backpack is full of supplies. The soldier is looking at the ground.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_16/440092e8-312f-4c9c-8289-4132ed3c4461.jpeg,"<image>
what is written on the image?",<s> The image shows a video game screenshot with the following text: 'You are not getting any closer. You are hunted.'</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_16/440092e8-312f-4c9c-8289-4132ed3c4461.jpeg,"<image>
what is on the left side of the image?","<s> The left side of the image shows a large, dark tree with a red line running vertically down it. There are also some red and white icons and text on the left side.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_63/ec4c10f9-2926-46f2-b524-bd1f25164f26.jpeg,"<image>
describe the image","<s> The image appears to be a screenshot from a video game, likely from a cutscene or a dialogue sequence. It features three characters in a dimly lit interior setting that resembles a traditional Japanese room, possibly a dojo or a house.On the left, there is a character dressed in a white kimono with a pattern that resembles a snowflake or a flower. This character is facing away from the camera, looking towards the other two characters. The kimono has a tear on the back, revealing a red cloth underneath. The character is also wearing a straw hat and has a quiver of arrows on their back, suggesting they might be an archer or a hunter.In the center, there is a character wearing a blue kimono with a white pattern, facing the camera. This character has a stern expression and is looking directly at the viewer. They are standing with their hands clasped in front of them, which could indicate a formal or respectful posture.On the right, there is a character wearing a black kimono with a white pattern, standing with their hands on their hips. This character is looking towards the other two characters, and their expression is not clearly visible due to the angle of the shot.The room is lit by a single light source, possibly a lantern, casting a warm glow on the characters and the surrounding objects. There are various objects in the room, such as a pottery jar, a wooden shelf with various items, and some baskets. The room has a traditional Japanese aesthetic, with wooden beams and paper doors.At the bottom of the image, there is a subtitle that reads, ""Everyone stays close to me."" This suggests that the characters are engaged in a conversation, and the character in the white kimono is likely the one speaking.The image is rendered in a realistic style, with detailed textures and natural lighting, which is typical of modern high-fidelity video games. The image appears to be a screenshot from a video game, likely from a cutscene or a dialogue sequence. It features three characters in a dimly lit interior setting that resembles a traditional Japanese room, possibly a dojo or a house. On the left, there is a character dressed in a white kimono with a pattern that resembles a snowflake or a flower. This character"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_63/ec4c10f9-2926-46f2-b524-bd1f25164f26.jpeg,"<image>
gimme a 1 line description of the image","<s>  The image shows a scene from the video game ""Ghost of Tsushima"". In the foreground, there is a man wearing a white and black kimono. He is holding a bow and arrow. In the background, there is a woman wearing a blue kimono. She is standing in front of a shelf of pottery. There is a man in a black kimono standing behind her. He is holding a sword.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_63/ec4c10f9-2926-46f2-b524-bd1f25164f26.jpeg,"<image>
what is written on the image?",<s> The text on the image reads: 'Everyone stays close to me.'</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_63/ec4c10f9-2926-46f2-b524-bd1f25164f26.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a man holding a bow and arrow. He is wearing a white and blue outfit with a patterned robe.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_66/8c797eaa-8807-4d66-a595-82e893279e82.jpeg,"<image>
describe the image","<s> The image shows a scene from a video game. Two characters are in a dimly lit stairwell. The character in the foreground is wearing a white shirt and khaki pants, and is facing away from the camera. The character in the background is wearing a red shirt and black pants, and is facing towards the camera. The background character is holding a gun. There is a message at the bottom of the screen that says ""Chase after him!""</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_66/8c797eaa-8807-4d66-a595-82e893279e82.jpeg,"<image>
gimme a 1 line description of the image","<s>  The image shows a scene from the video game Grand Theft Auto V. The player is controlling a character named Franklin Clinton, who is running up a flight of stairs. The stairs are made of wood and have a purple and white striped railing. There is a basketball hoop at the top of the stairs.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_66/8c797eaa-8807-4d66-a595-82e893279e82.jpeg,"<image>
what is written on the image?",<s> The text 'Chase after him!' is written at the bottom of the image.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_66/8c797eaa-8807-4d66-a595-82e893279e82.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a man running up a flight of stairs. He is wearing a white shirt and dark pants.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_1/5087961d-ec5b-4173-a951-1e11235be333.jpeg,"<image>
describe the image","<s> The image shows a man holding a black handgun with both hands. He is wearing a grey suit and has dark hair. He is standing on a rooftop, and there is a city skyline in the background. The man has a serious expression on his face.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_1/5087961d-ec5b-4173-a951-1e11235be333.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a man holding a gun. He is wearing a suit and tie. The background is a city skyline. The man is looking at the camera with a serious expression.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_1/5087961d-ec5b-4173-a951-1e11235be333.jpeg,"<image>
what is written on the image?",<s> The text 'Fucking lucky that...' is written at the bottom of the image.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_1/5087961d-ec5b-4173-a951-1e11235be333.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a black handgun with a silencer attached.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_58/7835b168-63d8-417a-8dfa-51b8435bb886.jpeg,"<image>
describe the image","<s> The image depicts a scene that resembles a futuristic or cyberpunk setting. It is nighttime, and the interior of a large, industrial-looking building is illuminated by a variety of red laser beams crisscrossing the space. The beams create a dynamic, almost chaotic pattern on the floor and walls. There are several people in the scene, dressed in a mix of modern and futuristic attire, suggesting a blend of styles. Some are standing, while others are walking or dancing. The atmosphere is lively and energetic, with a sense of movement and activity. The image is likely from a video game or a CGI-rendered scene, given the visual style and the watermark ""LACRY"" in the bottom right corner, which suggests the creator or the source of the image. The image depicts a scene that resembles a futuristic or cyberpunk setting. It is nighttime, and the interior of a large, industrial-looking building is illuminated by a variety of red laser beams crisscrossing the space. The beams create a dynamic, almost chaotic pattern on the floor and walls. There are several people in the scene, dressed in a mix of modern and futuristic attire, suggesting a blend of styles. Some are standing, while others are walking or dancing. The atmosphere is lively and energetic, with a sense of movement and activity. The image is likely from a video game or a CGI-rendered scene, given the visual style and the watermark ""LACRY"" in the bottom right corner, which suggests the creator or the source of the image.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_58/7835b168-63d8-417a-8dfa-51b8435bb886.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a dark room with a large crowd of people. The room is lit by red laser beams and there are people dancing in the center of the room. There is a stage in the background with a DJ playing music.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_58/7835b168-63d8-417a-8dfa-51b8435bb886.jpeg,"<image>
what is written on the image?",<s> The word 'LACRY' is written in the bottom right corner of the image.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_58/7835b168-63d8-417a-8dfa-51b8435bb886.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a large group of people standing in a dark room. The people are wearing various types of clothing, and some of them are carrying backpacks. The room is lit by red laser beams that are shining across the floor.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_13/1c07faac-80d5-4c01-b423-327cb350eb5f.jpeg,"<image>
describe the image","<s> The image is a screenshot from a video game. It shows a character in a dark, overgrown environment. The character is wearing detailed armor and is holding a weapon. There is a large, ornate door in front of the character, and a compass at the top of the screen indicating the direction the character is facing. The compass shows the character is facing east. There are also icons on the screen indicating the character's health and abilities. The image is dark and moody, with the only light coming from the character's torch.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_13/1c07faac-80d5-4c01-b423-327cb350eb5f.jpeg,"<image>
gimme a 1 line description of the image","<s>  The image shows a scene from the video game ""God of War"". The player is controlling the character Kratos, who is standing in a dark room. There is a large door in front of him, and a chest to the left. The player is being instructed to ""Talk to the Norn"".</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_13/1c07faac-80d5-4c01-b423-327cb350eb5f.jpeg,"<image>
what is written on the image?",<s> The image shows a video game screenshot with the text 'E' and 'F' indicating the controls for the player. The player is in a dark room with a large door in front of them.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_13/1c07faac-80d5-4c01-b423-327cb350eb5f.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a large, ornate door with a purple glowing symbol on it.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_15/88a968ed-94b9-49cb-9dad-551e410ff5e0.jpeg,"<image>
describe the image","<s> The image shows a scene from a video game. The player is controlling a character who is climbing a ladder in a narrow alleyway. The character is wearing a backpack and a brown jacket. The alleyway is made of brick and has a metal railing on the left side. There is a building to the right with a window and a door. The sky is overcast and there are some clouds in the distance. The image is realistic and detailed, with a focus on the character's movement and the environment.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_15/88a968ed-94b9-49cb-9dad-551e410ff5e0.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a man walking up a staircase in a dark and dirty building. The man is wearing a brown jacket and a backpack. He is carrying a gun in his right hand. The staircase is made of metal and has a metal railing. The walls of the building are made of brick and have graffiti on them. The floor of the building is made of concrete and is covered in dirt and debris.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_15/88a968ed-94b9-49cb-9dad-551e410ff5e0.jpeg,"<image>
what is written on the image?","<s> The image is a screenshot from a video game, and there is no visible text or writing on it.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_15/88a968ed-94b9-49cb-9dad-551e410ff5e0.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a metal staircase leading up to a higher level.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_95/cdbd7d2e-bf27-47c1-957b-f51635dc6413.jpeg,"<image>
describe the image","<s> The image shows a scene from a video game. It is a first-person perspective view of a character standing on a wooden platform. The platform is located on a snowy hillside, and there is a railing on the left side. In the background, there is a large body of water, and on the opposite shore, there are several industrial structures, including a large ship. The sky is overcast, and the overall atmosphere of the image is bleak and desolate.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_95/cdbd7d2e-bf27-47c1-957b-f51635dc6413.jpeg,"<image>
gimme a 1 line description of the image","<s>  The image shows a post-apocalyptic landscape. There is a large body of water in the distance, and a few small buildings can be seen in the background. The ground is covered in snow, and there are some trees and bushes scattered around. There is a wooden fence in the foreground, and a metal railing on the left side of the image.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_95/cdbd7d2e-bf27-47c1-957b-f51635dc6413.jpeg,"<image>
what is written on the image?","<s> The image has text at the bottom that reads: 'Rico: So, you're the one who's been talking to the boy. I'm gonna have to ask you to stop that. You're not gonna like what I'm gonna do to you. You're not gonna like it at all.'</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_95/cdbd7d2e-bf27-47c1-957b-f51635dc6413.jpeg,"<image>
what is on the left side of the image?",<s> There is a rusty metal railing on the left side of the image.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_9/f0e456cc-62bb-4be4-8225-677c7fee35df.jpeg,"<image>
describe the image","<s> The image shows a scene from a video game. The player is flying a wingsuit, which is a type of wingsuit that allows the player to glide through the air. The wingsuit is blue and white, and it has a large wingspan. The player is flying over a body of water, and there are mountains in the distance. The sky is blue, and there are some clouds in the sky. The player is wearing a black and white outfit, and they have a gun in their hand. The image is taken from a first-person perspective, and the player is looking down at the ground.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_9/f0e456cc-62bb-4be4-8225-677c7fee35df.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a man flying in a wingsuit. He is flying over a body of water. The man is wearing a black and red wingsuit. The wingsuit has a large wingspan. The man is flying at a high altitude. The man is flying towards a target. The target is a large building. The building is located on an island. The building is surrounded by water. The building is tall and has many windows. The building is made of concrete. The building is located in a remote area. The building is not visible from the ground. The man is flying towards the building. The man is flying at a high speed. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is flying towards the building. The man is
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_9/f0e456cc-62bb-4be4-8225-677c7fee35df.jpeg,"<image>
what is written on the image?",<s> The image shows a screenshot from a video game. The text on the screen says: 'Session: You will give your attention to the following: Attack of a hostile drone. Your task is to shoot down the drone. Your reward: 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_9/f0e456cc-62bb-4be4-8225-677c7fee35df.jpeg,"<image>
what is on the left side of the image?","<s> The left side of the image shows a minimap with various icons and a text box with the words ""Session: Give your attacker a taste of your own medicine. Attack of the rocket-propelled device to destroy the helicopter.""</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/028796a9-474d-4c61-9336-c6345be5f89e.jpeg,"<image>
describe the image","<s> The image depicts a dark and eerie scene, likely from a video game or a fantasy artwork. In the foreground, there is a large, skeletal creature with a humanoid form. It has a massive, ornate skull for a head, with intricate designs that suggest a high level of craftsmanship, possibly indicating a significant role in the narrative. The creature's body is adorned with a mix of armor plating and bone-like structures, with a prominent ribcage visible on its back. It holds a large, ornate shield with a similar design to its body, featuring a mix of bone and metal elements.The creature is standing on a rocky, barren ground with sparse vegetation, including some dead trees and shrubs. In the background, there is a misty, mountainous landscape with a dark, ominous sky. The overall color palette is dark and muted, with shades of gray, brown, and dark green, contributing to a sense of desolation and foreboding.The HUD (Heads-Up Display) elements in the image suggest that this is a screenshot from a video game. There is a health bar at the bottom right corner, indicating that the player character is in a critical state, with a small portion of health remaining. The health bar is partially depleted, with a red section indicating damage and a smaller yellow section, possibly indicating stamina or another resource. The image depicts a dark and eerie scene, likely from a video game or a fantasy artwork. In the foreground, there is a large, skeletal creature with a humanoid form. It has a massive, ornate skull for a head, with intricate designs that suggest a high level of craftsmanship, possibly indicating a significant role in the narrative. The creature's body is adorned with a mix of armor plating and bone-like structures, with a prominent ribcage visible on its back. It holds a large, ornate shield with a similar design to its body, featuring a mix of bone and metal elements. The creature is standing on a rocky, barren ground with sparse vegetation, including some dead trees and shrubs. In the background, there is a misty, mountainous landscape with a dark, ominous sky. The overall color palette is dark and muted"
